case_id,task_id,task_name,trial,episode_seed,initial_state_index,initial_state_sha256,episode_id,episode_success,num_policy_queries,all_query_mismatches,all_query_mismatch_rate,eligible_queries,eligible_mismatches,eligible_mismatch_rate
libero90-task00-trial0,0,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,0,7,13,7770753833d2b838bda7deed575eb815bac6e7a57243d980034aedb12ee88c73,libero_90-task0-episode0-seed7,true,7,0,0.00000000,7,0,0.00000000
libero90-task00-trial1,0,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,1,8,14,6a50ee7a01412dc40d6c440913ade9e3a2cd12fcce23fa61b2070edee13e0b52,libero_90-task0-episode1-seed8,true,7,0,0.00000000,7,0,0.00000000
libero90-task00-trial2,0,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,2,9,15,c5757df641db2c8fcd83de4daf02a7d597012ee5e00a555ba123b08a11bbb191,libero_90-task0-episode2-seed9,true,6,0,0.00000000,6,0,0.00000000
libero90-task01-trial0,1,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,0,10,13,f3539d43042e203b15264af1683d951c0c3cf3ca68f1dbd08a762266802a4bfa,libero_90-task1-episode0-seed10,true,20,0,0.00000000,20,0,0.00000000
libero90-task01-trial1,1,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,1,11,14,0b443d40e27a74cb54d04177d5e05f2e07ed1b713aac60cd1cbe25693517b46b,libero_90-task1-episode1-seed11,true,18,0,0.00000000,18,0,0.00000000
libero90-task01-trial2,1,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,2,12,15,763ca92765bf2ff4ad84d890bd072fe6ceac4157ce9839d0a881cde3ff29528f,libero_90-task1-episode2-seed12,true,20,1,0.05000000,20,1,0.05000000
libero90-task02-trial0,2,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,0,13,13,5423e35f4aeca71d8a7f5033ca4de52979f47496403bdd558f7330499cee4a40,libero_90-task2-episode0-seed13,true,10,0,0.00000000,10,0,0.00000000
libero90-task02-trial1,2,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,1,14,14,e8aecff491647a9f827d44ecaec624a4e7d2ab96e7c1d12a467e37e49a52abfb,libero_90-task2-episode1-seed14,true,13,2,0.15384615,11,0,0.00000000
libero90-task02-trial2,2,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,2,15,15,745e0a3cdc31ec477177ae305a1e7743b8035b68cf94c1ed142b1341cb86f4c7,libero_90-task2-episode2-seed15,true,11,0,0.00000000,11,0,0.00000000
libero90-task03-trial0,3,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,0,16,13,b46893669e6297e5b7cdc3c46139d9ec2fd9480f1a6642b8e29f454b69a0ed4b,libero_90-task3-episode0-seed16,true,19,1,0.05263158,19,1,0.05263158
libero90-task03-trial1,3,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,1,17,14,8c0747f5ad8d65b633d7a7c8d79bd2b5b8d2d494ff65afd62c883401fdf4e773,libero_90-task3-episode1-seed17,true,18,0,0.00000000,18,0,0.00000000
libero90-task03-trial2,3,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,2,18,15,8734ed0bbae00bf171cee1ad2d952b1f9759b2ec06446702534c48c106d4efdf,libero_90-task3-episode2-seed18,true,20,2,0.10000000,20,2,0.10000000
libero90-task04-trial0,4,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,0,19,13,0609b5e12b259383602e1b689029cd4950d5c9b3ad20771f3f4bdb9161d403fa,libero_90-task4-episode0-seed19,true,17,1,0.05882353,17,1,0.05882353
libero90-task04-trial1,4,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,1,20,14,8a9eea2ccbac227ea28b700a7de79646d54315875034b3b3d18810927aa244da,libero_90-task4-episode1-seed20,false,40,3,0.07500000,39,2,0.05128205
libero90-task04-trial2,4,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,2,21,15,b17482d0b9ae71d26082ba22e86dee8b6521f56a21fdd7d3409a7e43b2bf8658,libero_90-task4-episode2-seed21,true,18,1,0.05555556,18,1,0.05555556
libero90-task05-trial0,5,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,0,22,13,d03c88d858cf4570215c8883f8b3dd7f31370c695f8c643065d3f17af67d92cd,libero_90-task5-episode0-seed22,true,17,1,0.05882353,16,0,0.00000000
libero90-task05-trial1,5,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,1,23,14,3022c5a19a70c18e3c5e957aad053d55f19bf723ec3d9c5152808f39d0edc5d3,libero_90-task5-episode1-seed23,true,30,1,0.03333333,29,0,0.00000000
libero90-task05-trial2,5,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,2,24,15,0b4df0fe39d13e6c345c4827e2feb96ce4522f8ebe6bfc64f24166596b555b83,libero_90-task5-episode2-seed24,true,18,1,0.05555556,17,0,0.00000000
libero90-task06-trial0,6,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,0,25,13,9f6e2648253fab04c594fab386139c79d4d544f720b9f34801e50a23845be65c,libero_90-task6-episode0-seed25,false,40,6,0.15000000,40,6,0.15000000
libero90-task06-trial1,6,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,1,26,14,541507083a5f609e01e21dd5fc484368bc05aa1063853cc1610e07c8e211910c,libero_90-task6-episode1-seed26,true,12,3,0.25000000,12,3,0.25000000
libero90-task06-trial2,6,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,2,27,15,4d7140c7b45fad72d6585f9ee904dd70812c38cc143bfa770053455aeae4307a,libero_90-task6-episode2-seed27,true,13,1,0.07692308,13,1,0.07692308
libero90-task07-trial0,7,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,0,28,13,e4d1aeb838573e4d38f75c686ffdc05db27a5a84a9dce2dc241d658bdcca9763,libero_90-task7-episode0-seed28,true,11,1,0.09090909,11,1,0.09090909
libero90-task07-trial1,7,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,1,29,14,acd089746d1e9834851d7a9926dae3902ca36b44aaea1be790ac2001636c21a1,libero_90-task7-episode1-seed29,true,7,0,0.00000000,7,0,0.00000000
libero90-task07-trial2,7,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,2,30,15,088bb1f03c7bb69c2488cd79123c44a91fdb701a6af2ba14ba83de3198e9e230,libero_90-task7-episode2-seed30,true,7,0,0.00000000,7,0,0.00000000
libero90-task08-trial0,8,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,0,31,13,58216237c0ac38bb1dd38e5a0c3217d10be84913bba3bfa679064461004b6e86,libero_90-task8-episode0-seed31,true,19,0,0.00000000,19,0,0.00000000
libero90-task08-trial1,8,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,1,32,14,793afd4d36d4f1d538c9e4275914a09224f8205e74c005b2a526980c4597f4ee,libero_90-task8-episode1-seed32,true,20,2,0.10000000,19,1,0.05263158
libero90-task08-trial2,8,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,2,33,15,80cd32994349e51b4d862924a72ce98cbbb9798301bdc2b0641e9252d8bb147d,libero_90-task8-episode2-seed33,true,19,2,0.10526316,18,1,0.05555556
libero90-task09-trial0,9,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,0,34,13,8b6c5e39a0701dc335edf989953b1011ee6c12ea554eda3437b67e2885bf45c4,libero_90-task9-episode0-seed34,true,13,0,0.00000000,13,0,0.00000000
libero90-task09-trial1,9,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,1,35,14,d4c5c4219a84b14a9d0156724b8b445512bd1fa810e90a12d26932216ff7f050,libero_90-task9-episode1-seed35,true,13,1,0.07692308,12,0,0.00000000
libero90-task09-trial2,9,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,2,36,15,67537fc3475c3de434fbae99c704f6d7914b3d4bcde45f4dd8e4e1b7f204be59,libero_90-task9-episode2-seed36,true,11,1,0.09090909,11,1,0.09090909
libero90-task10-trial0,10,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,0,37,13,f57b006f45a5e7c848fc222924952c2f45c32aaa1aeee63c4902e1ee1197d946,libero_90-task10-episode0-seed37,true,12,0,0.00000000,12,0,0.00000000
