episode_id,task_id,episode_seed,initial_state_index,initial_state_sha256,episode_success,action_token_ids,decoded_action_chunk_sha256,decoded_action_chunk_json,reasoning_sha256,state_before_sha256,state_before_ee_position
libero_90-task0-episode0-seed7,0,7,13,7770753833d2b838bda7deed575eb815bac6e7a57243d980034aedb12ee88c73,true,"[151809,151786,151864,151856,151842,151665,151902]",694fb516f888da26a6574a22d85807a1aaec716062434cd480d67bfb273a5a73,"[[-0.027698161825604473,-0.029132463970071854,0.1583888080357383,0.0037378837319304026,0.008969480639365202,-0.025028853963448228,0.9830936193466187],[-0.028468928107443503,0.03693030749246873,0.2246284856974512,-0.0011054352034478576,0.008232265694815055,-0.025047490718201004,0.9838656187057495],[-0.019525302267350497,0.1330411886902283,0.3045167255023671,-0.014297782349447896,0.007650056853279352,-0.02424249892480823,0.9839668869972229],[-0.007449478260285858,0.2516902021634593,0.3668116190327737,-0.030034974553707183,0.007066596761248434,-0.022463792830386353,0.9839504957199097],[0.024543811705417085,0.3541650228243043,0.41294210354078587,-0.04730282777436212,0.006471090900561194,-0.020890109749846175,0.9842449426651001],[0.06954808678439761,0.44349161737855525,0.4265826937757424,-0.06371344807491663,0.005841215373493469,-0.021205942865782035,0.9839431047439575],[0.12955316886404944,0.5217262123042588,0.41721220705107953,-0.07850469786157377,0.0061244845828269945,-0.022150710319820632,0.9843212366104126],[0.20513664706416535,0.5736877247210259,0.38109411168790075,-0.09133286820434816,0.0071506490167365655,-0.02480410892194662,0.9842138886451721],[0.2694280019331323,0.6136031795830377,0.3296620897875755,-0.09857709266380987,0.007599113083117004,-0.026793844454221727,0.9844207763671875],[0.29910091457510646,0.6323639271620607,0.28420386647360374,-0.09869202835416502,0.0085470048471592,-0.027151685114755963,0.9839810132980347]]",b52bb182202d68fdc405b8613064f0e6c259bd867b2ea405170a528361036963,32f2ca335ba921a485ccc4dcdd3c4051fa48f1034977f889ff013ed9d579abd4,"[-0.21164333680302222,0.00664899663726582,1.1735963504901228]"
libero_90-task0-episode1-seed8,0,8,14,6a50ee7a01412dc40d6c440913ade9e3a2cd12fcce23fa61b2070edee13e0b52,true,"[151888,151677,151705,151697,151705,151914,151894]",64faca164239131e6ec1f1ec433eb321a7efa5d149f0e5135c2740513fe13e7f,"[[0.05284272088105446,0.23477166377091407,0.35446935779975774,-0.0006159688082549852,0.0009522321191042238,-0.006843011375362806,0.9848599433898926],[0.07963642857262165,0.2798774479482802,0.33895951888735,-0.004616016902979414,0.002359253370414649,-0.006159944375111692,0.985493540763855],[0.12400630031618931,0.3407672123762495,0.30401613334618105,-0.015454752415949402,0.007028950010237622,-0.005715244462004776,0.9857408404350281],[0.16893085008560504,0.41228127485162247,0.26093473993608995,-0.028019507320651726,0.013407268923515403,-0.0041396715097477,0.9859756231307983],[0.2165508746069733,0.4647953577755004,0.22283153021533053,-0.0407738622810776,0.0238721322319293,-0.002410906678814939,0.9855320453643799],[0.2528023171946643,0.49431190923769464,0.18291247268194866,-0.05155537449289205,0.037118565113445356,-0.0016045863617399903,0.9844456911087036],[0.28485454032109203,0.5077677339515674,0.14899822773412552,-0.05859697808096653,0.04913793834265334,3.673915698421126e-05,0.984583854675293],[0.30721100038463334,0.5047079426738321,0.11032431674630061,-0.062189661975366795,0.0598375203550745,4.88829861353679e-05,0.9847283363342285],[0.32346472196784504,0.4991980224029646,0.07118759826329324,-0.06245343730841468,0.06734812166092752,-0.0005892574597368139,0.9847385883331299],[0.3256832574924786,0.49027325534765964,0.04078175737345191,-0.061000116799515336,0.06959008449268822,-0.0006785679320611138,0.9846246838569641]]",0b6c18345d98428ca84eaf2a07a4a21bce382606b1491f866c810f6c6a37238a,95dbf24b3c05c451eaca2b8a4620636353e9a11dc959e3482b2635512ecaa230,"[-0.1984083670006052,-0.010391535603149158,1.1807783381213417]"
libero_90-task0-episode2-seed9,0,9,15,c5757df641db2c8fcd83de4daf02a7d597012ee5e00a555ba123b08a11bbb191,true,"[151888,151825,151747,151697,151796,151792,151708]",80a03780b2f0dd6fc3d298a13566b7676cca38db4dfacfcb47362f33ecd95f8f,"[[0.11141773573847402,0.526538936398282,0.22199884801835879,-0.048388289477590885,0.001504659212741899,-0.018397219262448417,0.9825941324234009],[0.12528949815585122,0.550924505294077,0.20237190071145505,-0.05274705135436952,0.0018124668345649297,-0.016920499699105918,0.9835906028747559],[0.14849530204886463,0.5770150376132221,0.1680154878665121,-0.06031225599188206,0.004334531027183175,-0.014584562122216482,0.9839306473731995],[0.17774486711679316,0.60459333860436,0.12943494648897058,-0.06749033360040313,0.00845951661808897,-0.010516341933376694,0.9840327501296997],[0.22372650562532215,0.6220617825377417,0.09631723714045393,-0.07433820295457028,0.017029758273878315,-0.006531949717722085,0.9832597970962524],[0.2754624927232143,0.624629272545647,0.05869758371716216,-0.07990345275529287,0.028749228606613997,-0.00344575178082529,0.9824739694595337],[0.336064146139222,0.6193798014787433,0.02597978023163705,-0.08329277753220166,0.04099591234245281,-0.000626250295225006,0.9826911687850952],[0.40096240220193025,0.59900551931932,-0.011434023232141044,-0.08393316911533177,0.05309331990810051,0.0005329521080774668,0.9827670454978943],[0.45795293171261164,0.5775199462235037,-0.050801271828959216,-0.08164605500014188,0.06224512491905898,0.0004919362783404324,0.9831745624542236],[0.4833475176094133,0.553554622009429,-0.08089751874786089,-0.07907036971087766,0.06550534745937853,0.0006647940498325511,0.98329097032547]]",1c264dfa229f27c561bb383d25f83b149592ac3c2c6f1b474e3550d5d5fa6908,296f01736bfa2d8321e48f9645ce6263dbf49f5466d3b1994f9b99da94de4f4c,"[-0.2136127668303975,0.007527068983755582,1.15678457926345]"
libero_90-task1-episode0-seed10,1,10,13,f3539d43042e203b15264af1683d951c0c3cf3ca68f1dbd08a762266802a4bfa,true,"[151746,151742,151773,151845,151712,151685,151836]",061206fefb5ec2494277dd10401ef01c7a05b922c18c69ee01a82853eb59c3ad,"[[0.14160157901882187,0.35058064318533866,0.01065116572655711,0.0006809265792304675,-0.0007374922996490341,0.0026320195259152968,0.9879768490791321],[0.21471798709139733,0.37987098001032393,0.015961876273564712,0.000445822879256319,0.0018374123999933545,0.0029733191310263862,0.9882690906524658],[0.31589284821491503,0.4182802164338284,0.011721585516028199,0.00043945550660717814,0.007975521009868203,0.002857325915451625,0.9888651967048645],[0.42863935684464494,0.4662379245195325,0.007003799295375757,0.00011345525504746767,0.015191532268573837,0.0028828672510314846,0.9883221387863159],[0.5371826729910403,0.5000500941198283,-0.0004011206275436052,-0.0006501772871105871,0.02324279295507381,0.0022618104970160147,0.9878127574920654],[0.6230493034949447,0.520698765306804,-0.02172100639458563,-0.0027284046671034456,0.03177046230234737,0.0011029449025343752,0.9872786402702332],[0.6892969744318371,0.5331209931010505,-0.051811956908693446,-0.005889943608546444,0.03746768386272947,0.00026402897624322463,0.9874311089515686],[0.7349385222510598,0.5366373136013181,-0.09107688114897883,-0.010102772686667816,0.041232537713881356,-0.0010067132815585467,0.987682044506073],[0.7639353148258721,0.5329304480124364,-0.13329692625367784,-0.01316189843729898,0.04306593746727572,-0.0019966318291899654,0.9880180358886719],[0.7674333400362343,0.5197881668306081,-0.16894680851265775,-0.014240475995605628,0.04350425250186163,-0.002456413292829751,0.9878307580947876]]",872d8f94ff272bab77c1efbf43fd8d435dcbf874167ae408a6b91b5638de5d29,fcc3665ef56c531d9f6c0d07446cca28a1272b8148d160ff2353bbb6e175dc1a,"[-0.20486849305407231,-0.022872551104737706,1.1831482368027728]"
libero_90-task1-episode1-seed11,1,11,14,0b443d40e27a74cb54d04177d5e05f2e07ed1b713aac60cd1cbe25693517b46b,true,"[151790,151676,151799,151719,151679,151830,151698]",9c454b8f08c130bbe83111e8756c2f559cfaee6ba299fca5c2e339a23751058d,"[[0.056796804880516305,0.17922700169961558,0.014848921439408969,-0.0054705183124941215,0.005582603743363279,-0.00020563221280767152,0.9888775944709778],[0.061421888163136984,0.19990509001431178,0.024407894652199502,-0.005317000035115704,0.007657981439749051,6.430134548907063e-05,0.9897502660751343],[0.07015198613924056,0.22590716595288995,0.03143726125375679,-0.004386265487261065,0.012655068764701127,0.00014850355069739862,0.9900381565093994],[0.08779176268907207,0.2607107030072342,0.03458168763796721,-0.003688253795694374,0.0179836878180879,0.0005755771355140382,0.9900206327438354],[0.12879184954580225,0.2879640831103103,0.03871987244741604,-0.0034399354904541823,0.02225446395280528,0.0006698836053473656,0.9898989200592041],[0.18504639879011364,0.3071466128515965,0.03831035661283977,-0.0038257152203053924,0.02611784881517565,-0.0005494953072773257,0.989639163017273],[0.25891688645182853,0.32168287639230186,0.03649188789887603,-0.004199498450962569,0.028130773222954986,-0.001927155654092516,0.9895957112312317],[0.3418880667595232,0.3324797822553194,0.025971371506500418,-0.005480290845299107,0.0294256784576703,-0.0039476156354680825,0.9896003603935242],[0.41480079123390823,0.33824687177165913,0.01351258936801969,-0.0063157362772479075,0.02971130120960197,-0.005768591236904541,0.9893596172332764],[0.45433712847017915,0.3357913103472754,0.005178341511168583,-0.006675871183052795,0.029959287141082314,-0.006735307399100776,0.9890482425689697]]",a5833e6cf38d8bc320a79ae6dde58debdeade22b7c68ab751bb8d609b8bbc79a,4a29286c20536aa44a979c11bdf3368531b3d0c62ce2f3fe5bc10dbcfd1d735f,"[-0.20409535552714572,-0.0034705802765411455,1.1654311493701932]"
libero_90-task1-episode2-seed12,1,12,15,763ca92765bf2ff4ad84d890bd072fe6ceac4157ce9839d0a881cde3ff29528f,true,"[151790,151809,151843,151737,151780,151823,151815]",886935491600ad2b01b1c37da5b49b23c9b1f1a3140dcb5681a2e18b8ff0fb74,"[[0.0018176840104828784,0.029882291686504914,-0.005781066651650235,0.0007969511825893782,0.0005400741782040086,-0.0016779171266758652,0.989515483379364],[0.0018121659242726906,0.06688001847294345,-0.0010766033461493407,0.0006293877730776387,0.0007037595902090743,-0.0011466012118113156,0.9902664422988892],[0.007115311640401245,0.11921360118108737,-0.0021682633569071186,0.0006414765530347033,0.001683637686355155,-0.0004232668458694633,0.9905871152877808],[0.02419370017155309,0.18666943251417933,-0.002056383630900882,0.00047412538927793513,0.0029377680438216203,0.0006354542592177381,0.9904735684394836],[0.06296130178171033,0.24442601659316665,0.0007180588472976979,0.0006550787375054767,0.003975660468483966,0.0016811333782982274,0.9906628131866455],[0.11955660388567324,0.29672474974233864,0.00504948052855525,0.0005094966057477279,0.005019114006458381,0.0016348970118382766,0.990949809551239],[0.19591958901618511,0.34271417523704883,0.013549991814244322,0.0006473917499449922,0.005778116598520455,0.0015054127318290256,0.9910714626312256],[0.28629860140995333,0.3798994746497186,0.021289786485624518,0.00040542236120133524,0.006893030442554959,0.0006539787443635703,0.990952730178833],[0.3663708882356431,0.4075791468579837,0.026068017243460417,0.0003979291632432158,0.00750941033928143,-0.0006043951450731555,0.9908791780471802],[0.41167993825218474,0.4189431780439179,0.029200758775857594,0.0002004852426620296,0.00847215822031444,-0.0013263261409282023,0.9901940226554871]]",33e6b2d48ed1b9fec58ac421234fcab09993527abb71e74e9f3ccee21064be7f,9b0c6232c7d04f5464f66e93a2c7bb1d73d2f2ffed56c18e8e82726f6a224ee7,"[-0.21064474104769715,0.0018485860292973902,1.178748291716742]"
libero_90-task2-episode0-seed13,2,13,13,5423e35f4aeca71d8a7f5033ca4de52979f47496403bdd558f7330499cee4a40,true,"[151790,151773,151764,151751,151720,151673,151751]",b09f5b44ed4c20b68758846f6e42c5987ca05922cf6017fbfe8e622d3ee05055,"[[0.1299718371009888,0.016239611837320922,-0.031467537859612094,-0.03652320731818981,-0.000292374831815323,0.0012859069386514932,0.9854720234870911],[0.15426766167161787,0.049221439445759074,-0.01571067899578793,-0.039481627072125214,0.0023236920368958636,0.0007288251489931952,0.9866935014724731],[0.18468785562052048,0.09464353462014685,-0.003324517665305393,-0.044427672952909614,0.009276225691323248,-0.0001291578988773523,0.9867125153541565],[0.21426003008064143,0.1521796439892853,0.0007510931246201835,-0.04964355701287304,0.01691710600707097,-0.0006591640016608835,0.9867020845413208],[0.25432954687888554,0.20471330416540923,0.002723321383939492,-0.05639974542896886,0.023664901316578835,-0.001516454720288607,0.9865063428878784],[0.29191875014268476,0.25769170621323667,-0.006867757870281821,-0.06461851011449604,0.030057063429779873,-0.004019393337507893,0.9861155152320862],[0.32956410545175885,0.3087256053691334,-0.01912756991526976,-0.07364215684325615,0.03420521701596613,-0.006609303476906803,0.9864380955696106],[0.3675827482567797,0.34715052409417524,-0.04085009165086717,-0.08264149681903388,0.037025396604349226,-0.00956635394261518,0.9865620732307434],[0.39708905883989587,0.3774325358693176,-0.06922336894842829,-0.08786165347832564,0.03807507660312126,-0.011838092015933555,0.9865002632141113],[0.4053415554183353,0.3870156520930834,-0.09203836972645263,-0.08795591827776184,0.038464453840560964,-0.012767983747052014,0.9862435460090637]]",bd2948c4372df33ca81affc702aa0be8a5695b9de91caa2e52a2a9ae9a801e7f,93202fe0a126515efb36dfd187b64788548ef525a45d62b815d0c56f72796e93,"[-0.21830864335542755,-0.005018239503283602,1.160439128882162]"
libero_90-task2-episode1-seed14,2,14,14,e8aecff491647a9f827d44ecaec624a4e7d2ab96e7c1d12a467e37e49a52abfb,true,"[151827,151670,151725,151857,151864,151779,151729]",d0770118cab3ac5098499339acb84e97fa23da14a04b425ca44da58e3d5c606a,"[[0.014840985492181602,-0.0026662739049498896,-0.0845987228607612,0.0005628994833137835,-0.05190705359302683,0.0006686299280698194,0.9885867834091187],[0.008545687875461283,-0.0011257184009849652,-0.07601275927092388,0.0003331296114428284,-0.0526634643090631,0.00037927372777168955,0.9894888401031494],[0.0008236780329244908,-0.0038061619794405033,-0.07305818442762302,0.00032697448454865885,-0.051444120701475526,0.0004293272608677512,0.9896754622459412],[-0.007609900062588437,-0.0010446419270238039,-0.06828710654636438,0.0005987321035987314,-0.0486283105592662,0.001028547576332528,0.9893028140068054],[-0.00924025174190568,0.00027410638395508613,-0.06021565865108869,0.0007969788668182876,-0.0450380657355538,0.0013011381819936219,0.9896607398986816],[-0.011207074245975335,0.004778616878482467,-0.05133953944192626,0.0006418456760868274,-0.03975500808908805,0.0007747621298346274,0.9885774254798889],[-0.01006889171191716,0.01029396958060147,-0.03596019957547014,0.0006091967421264499,-0.03562796687236869,3.279100913999855e-05,0.9888737201690674],[-0.006984325665111868,0.019563952267134255,-0.018434996735834375,0.0005995164900844951,-0.030759569667793585,-0.0009399877118312361,0.9891065359115601],[0.00015899144039011048,0.02940208526361232,-0.002931491668334729,0.0006127218672742352,-0.02656914168987612,-0.0013764170972265788,0.988418698310852],[0.00716598974415561,0.03434293273620881,0.010315799559094785,0.0004670105424482429,-0.023505276102270045,-0.0013989458650200959,0.9877063632011414]]",f1a8b1214649c39eae33cc6de0bd22224ef288bba175ebf5faceb64f8d04c316,0e78a1617714a61338d93d4a145cd684c397f331d641cab91b34d47d1ebc7af4,"[-0.21223110930681136,-0.00916102925381057,1.1777706828605332]"
libero_90-task2-episode2-seed15,2,15,15,745e0a3cdc31ec477177ae305a1e7743b8035b68cf94c1ed142b1341cb86f4c7,true,"[151790,151867,151708,151782,151758,151738,151808]",7c288dee384c34455e86f697cae02a31e39a0c056448a229cb444864131ae1a5,"[[0.026799163901245038,0.20838234773293607,-0.02903053642910436,-0.0031290785121078635,-0.010702560479700196,-0.00280781716256584,0.9848297238349915],[0.027110604686948037,0.2300756856994468,-0.029524139515046954,-0.005434491902606808,-0.009619066925878883,-0.0042465147523564895,0.9859040975570679],[0.032199383789983216,0.25798126504881225,-0.02763468805642333,-0.01216397426588145,-0.004988208704205022,-0.006192465137923264,0.9861834645271301],[0.0411218201790291,0.2940504560860546,-0.03452056030954509,-0.020868135764951834,-0.0002870023991334847,-0.008136001726940734,0.9858943819999695],[0.07384583719302995,0.32974111941364015,-0.039564430338742795,-0.0337458977897791,0.000885329939848134,-0.011355351417673631,0.9857064485549927],[0.117824101394433,0.36669610424098664,-0.057619164453541316,-0.049063664697986065,0.0006293995607791203,-0.01668132801311195,0.9843711256980896],[0.1739781773250293,0.40513250282074864,-0.08092159827893397,-0.06715169088430817,6.8925088498872356e-06,-0.023335304365893705,0.9848152995109558],[0.24395686914442294,0.43337766037268466,-0.10911250452483046,-0.08546608178234538,-0.0001715397839916477,-0.0302398851929766,0.9849622249603271],[0.30413791195714523,0.4535018456971329,-0.14332149166932595,-0.09838306313146084,-0.0006523774742959176,-0.03497058962079436,0.9850082397460938],[0.33141129584679163,0.4561848517431599,-0.16872550615565274,-0.10087465296137488,7.557225825394198e-05,-0.03708509410958705,0.9845331311225891]]",865455ac9c490e9c6b9afebf2c671f6a26ef571af58ab107e227d811d3bf60a5,30dcc2981e70b5bb4ab99a38d60490565bb781df46160e2bbbf263f40c45fdc1,"[-0.2032161536099439,0.00021695087395543408,1.1689096259247842]"
libero_90-task3-episode0-seed16,3,16,13,b46893669e6297e5b7cdc3c46139d9ec2fd9480f1a6642b8e29f454b69a0ed4b,true,"[151790,151847,151831,151706,151887,151905,151718]",e22b505b621a5d3402ddec60d1287ea401e5cb210b4d1ebeb997514f2c503613,"[[0.0497642909461149,-0.011310399511827995,0.05628875697607327,0.0002988103956715893,0.0011396714293994137,-0.008023937947609028,0.9909454584121704],[0.04633526388572484,0.009008533348051628,0.06054794006411157,0.00017038325776130847,0.0008933041791152618,-0.007681291107214605,0.991736888885498],[0.04650716330734461,0.034218499310938455,0.057601937752281174,0.00031453503769207636,0.0005234206299462585,-0.006951781912890809,0.9920840263366699],[0.056347191216110204,0.07063065100794574,0.0546968870239084,0.0005231726148289262,0.00037251584799946613,-0.0054052680772311845,0.9920583367347717],[0.08549791632384185,0.11790551273520578,0.05413077233419017,0.0008833813452442385,0.00022428238655436417,-0.003542939837236858,0.9923157691955566],[0.1304419780460968,0.19083897724776477,0.05705635345640303,0.0007071158597786731,0.00013043859941319624,-0.0020270943158742227,0.9920885562896729],[0.19161813045361953,0.27533511543239797,0.0619511051197037,0.0005177372778863987,-0.0019127839453574325,-0.000842238307384946,0.9921578764915466],[0.26588256532605214,0.3618995749420151,0.06544979000187823,7.801944204355316e-05,-0.004524620395727652,-0.00033799807939516313,0.9921554923057556],[0.3325411350345,0.43439403751023065,0.0665793984799734,-7.935617122956096e-05,-0.007138323791281209,-0.0005991746083502392,0.9918843507766724],[0.3697397460839973,0.472316200097751,0.06710598124112721,-0.0004251875587646392,-0.007320231779942787,-0.0007018077406986123,0.9913519620895386]]",7d9aa7df98003d7316f3764e6473d459ad1e36a32b0a9f1ef9a0ecca5ba88c9f,d8a5c777415b466223ae0737a1f2ddea5b58acb4c5756b4a195dd9d0ce85281f,"[-0.21059569118086205,-0.0006536470797195482,1.1696239040860728]"
